173.0,56.0,m
173.0,60.0,m
170.0,75.0,m
160.0,47.0,f
160.0,50.0,f
175.0,70.0,m
165.0,49.0,f
183.0,63.5,m
164.0,50.0,m
183.0,65.0,m
166.0,58.0,f
170.0,65.0,m
164.0,46.0,f
174.0,62.0,m
164.0,60.0,m
173.0,65.0,m
180.0,65.0,m
177.0,59.5,m
174.0,65.0,m
180.0,59.0,m
166.0,65.0,m
160.0,50.0,f
155.0,48.0,f
170.0,60.0,m
178.0,70.0,m
175.0,82.0,m
164.0,46.0,f
160.0,47.0,f
179.0,63.0,m
171.0,65.0,m
177.0,64.0,m
177.0,64.0,m
170.0,55.0,f
180.0,80.0,m
181.0,78.0,m
165.0,56.0,f
175.0,68.0,m
160.0,53.0,f
176.0,60.0,m
161.0,45.0,m
183.0,77.0,m
160.0,48.0,f
179.0,74.0,m
178.0,65.0,m
170.0,55.0,f
179.0,60.0,m
166.0,58.0,m
173.0,100.0,m
173.0,56.0,m
180.0,65.0,m
169.0,73.0,m
158.0,46.0,f
177.0,60.0,m
178.0,68.0,m
155.0,55.0,f
170.0,58.0,m
178.0,95.0,m
165.0,57.0,m
163.0,48.0,f
176.0,65.0,m
172.0,58.0,m
156.0,40.0,f
179.5,75.0,m
175.0,70.0,m
163.0,50.0,m
175.0,58.0,m
173.0,70.0,m
161.0,57.0,f
178.0,56.0,m
170.0,62.0,m
158.0,47.0,f
171.0,60.0,m
173.0,78.0,m
179.0,60.0,m
178.0,85.0,m
176.0,72.0,m
180.0,100.0,m
168.0,48.0,f
178.0,72.0,m
173.0,57.0,m
175.0,55.0,m
174.0,75.0,m
164.0,50.0,f
178.0,69.0,m
175.0,60.0,m
164.0,58.0,f
176.0,65.0,m
177.0,65.0,m
158.0,45.0,f
170.0,75.0,m
170.0,60.0,m
168.0,52.0,f
176.0,69.0,m
173.0,70.0,m
155.0,40.0,f
176.0,55.0,m
168.0,53.0,m
175.0,65.0,m
150.0,47.0,f
175.0,53.0,m
177.0,67.0,m
175.0,70.0,m
189.0,78.0,m
170.0,60.0,m
173.0,55.0,f
173.0,56.0,f
170.0,52.0,f
172.0,60.0,m
174.0,68.0,m
