163	48	f
169	50	f
170	50	f
167	50	f
167	55	f
170	52	f
166	48	f
160	46	f
168	56	f
156	40	f
160	52	f
157	52	f
163	51	f
181	78	f
176	60	f
161	53	f
174	68	m
168	60	m
180	80	m
172	57	m
173	56	m
165	57	m
175	53	m
171	60	m
165	56	m
178	72	m
171	76	m
175	77	m
175	58	m
180	75	m
188	75	m
180	67	m
176	55	m
176	55	m
166	53	m
170	57	m
176	56	m
174	71	m
186	72	m
178	85	m
170	63	m
172	65	m
172	70	m
170	65.5	m
165	57	m
178	62	m
180	70	m
170	60	m
177	60	m
177	85	m
172	60	m
175	80	m
176	65	m
177	62	m
183	75	m
172	65	m
178	62	m
170	62	m
164	50	m
168	71	m
170	61	m
163	60.5	m
173	81	m
180	65	m
179	75	m
183	74	m
178	60	m
175	70	m
173	56	m
177	62.5	m
175	65	m
182	68	m
177	67	m
173	70	m
170	60	m
166	55	m
178	72	m
170	75	m
180	65	m
180	63	m
183	65	m
184	95	m
180	75	m
180	70	m
171	56	m
163	50	m
175	62	m
183	62	m
172	57	m
174	68	m
