151	42	f
153	48	f
155	43	f
158	49	f
158	58	f
158	46	f
160	50	f
160	48	f
160	54	f
160	46	f
160	53	f
160	45	f
161	48	f
161	51	f
161	48	f
162	55	f
162	54	f
164	60	f
164	46	f
164	50	f
167	57	f
168	56	f
170	50	f
172	58	f
172	60	f
173	56	f
168	60	F
166	58	F
172	64	F
163	45	F
163	46	F
173	56	F
155	45	F
159	53	F
165	56	F
167	57	F
150	47	F
167	52	F
158	46	F
158	45	F
160	56	m
160	45	m
162	54	m
164	60	m
165	55	m
165	60	m
165	53	m
166	65	m
167	74	m
168	70	m
169	55	m
169	67	m
170	80	m
170	68.5	m
170	60	m
170	60	m
170	60	m
170	55	m
170	65	m
170	75	m
170	65.5	m
170	57.5	m
170	60	m
170	58	m
170	55	m
170	56	m
171	65	m
171	60	m
172	67	m
172	65	m
172	60	m
172	55	m
173	82	m
173	60	m
173	64	m
173	78	m
173	59	m
173	60	m
173	75	m
173	57	m
174	68	m
174	60	m
174	61	m
174	65	m
174	60	m
174	71	m
175	66	m
175	64	m
175	65	m
175	80	m
175	74	m
175	55	m
176	74	m
176	69	m
176	64	m
176	68	m
177	65	m
177	64	m
178	78	m
178	69	m
178	56	m
178	70	m
178	70	m
178	63	m
179	60	m
179	79	m
180	75	m
180	77	m
180	60	m
180	59	m
180	69	m
180	58	m
181	65	m
181	65	m
181	56	m
182	70	m
182	71	m
183	63.5	m
183	105	m
183	69	m
184	75	m
184	68	m
185	85	m
185	65	m
